urun_adi,ay_key,ort_fiyat,en_dusuk,en_yuksek,ithal_mi,hassasiyet_katsayisi,mevsim_faktoru,ay_start,yil,ay,ceyrek,ay_sin,ay_cos,fiyat_spread,urun_kod,fiyat_lag1,fiyat_lag2,fiyat_lag3,fiyat_lag6,fiyat_lag12,roll3_ort,roll3_std,roll6_ort,roll6_std,momentum_pct,fiyat_diff_1,fiyat_diff_2,diff_lag1,diff_lag2,diff_roll3_ort,diff_roll3_std,son_yon,son3_yon_toplam,volatilite_3,hedef_abs,hedef_aylik,konya_ort_sicaklik,konya_toplam_yagis,konya_nem,antalya_ort_sicaklik,dolar_kuru,mazot_fiyati,aylik_tufe,lojistik
üzüm (si̇yah),2024-03,147.5,60.0,235.0,0,1.4,0,2024-03-01,2024,3,1,1.0,6.123233995736766e-17,175.0,192,72.5,54.166666666666664,,,,63.33333333333333,12.963624321753375,63.33333333333333,12.963624321753375,1.0344827586206895,75.0,93.33333333333334,18.333333333333336,,,,1.0,1.0,0.20468880508031648,170.0,22.5,8.003225806451614,0.6322580645161291,56.064516129032256,13.441935483870967,31.12,50.0,3.2,1.556
üzüm (si̇yah),2024-04,170.0,60.0,280.0,0,1.4,0,2024-04-01,2024,4,2,0.8660254037844387,-0.4999999999999998,220.0,192,147.5,72.5,54.166666666666664,,,91.38888888888887,49.45068624771926,91.38888888888887,49.45068624771926,0.15254237288135597,22.5,97.5,75.0,18.333333333333336,46.66666666666667,40.06938426723769,1.0,2.0,0.5411017340175969,136.66666666666666,-33.33333333333334,16.193333333333335,1.0133333333333332,45.3,19.52,31.538666666666664,54.0,3.2,1.703088
üzüm (si̇yah),2024-05,136.66666666666666,60.0,213.33333333333334,0,1.4,0,2024-05-01,2024,5,2,0.49999999999999994,-0.8660254037844387,153.33333333333334,192,170.0,147.5,72.5,,,130.0,51.051444641655344,111.04166666666666,56.348678876359756,-0.1960784313725491,-33.33333333333334,-10.833333333333343,22.5,75.0,38.611111111111114,31.582490460755363,-1.0,3.0,0.3927034203204257,60.0,-76.66666666666666,15.709677419354838,2.254838709677419,58.935483870967744,21.183870967741935,31.866129032258065,56.0,0.0,1.7845032258064517
üzüm (si̇yah),2024-06,60.0,43.333333333333336,76.66666666666667,0,1.4,0,2024-06-01,2024,6,2,1.2246467991473532e-16,-1.0,33.333333333333336,192,136.66666666666666,170.0,147.5,,,151.38888888888889,17.003539936447677,116.16666666666666,50.12692224078129,-0.5609756097560975,-76.66666666666666,-110.0,-33.33333333333334,22.5,21.388888888888886,54.17521300099986,-1.0,1.0,0.11231696104809474,35.625,-24.375,25.38,0.21,34.733333333333334,29.509999999999998,32.45733333333333,58.0,1.6,1.8825253333333332
üzüm (si̇yah),2024-07,35.625,26.25,45.0,0,1.4,0,2024-07-01,2024,7,3,-0.4999999999999997,-0.8660254037844388,18.75,192,60.0,136.66666666666666,170.0,54.166666666666664,,122.22222222222221,56.40462287332024,106.80555555555554,50.35820761379494,-0.40625,-24.375,-101.04166666666666,-76.66666666666666,-33.33333333333334,-29.166666666666668,49.714462460915506,-1.0,-1.0,0.4614923689635293,40.0,4.375,25.583870967741937,0.3064516129032258,40.03225806451613,31.403225806451612,32.80225806451613,60.0,3.2,1.968135483870968
üzüm (si̇yah),2024-08,40.0,25.0,55.0,0,1.4,1,2024-08-01,2024,8,3,-0.8660254037844385,-0.5000000000000004,30.0,192,35.625,60.0,136.66666666666666,72.5,,77.43055555555556,52.7278180937342,103.71527777777779,54.62282551397016,0.12280701754385959,4.375,-20.0,-24.375,-76.66666666666666,-44.791666666666664,27.965597665306156,1.0,-3.0,0.6809691305379125,39.44444444444444,-0.5555555555555571,25.280645161290323,0.07096774193548387,37.516129032258064,30.003225806451614,33.25645161290323,62.0,2.5,2.0619
üzüm (si̇yah),2024-09,39.44444444444444,25.0,53.888888888888886,0,1.4,1,2024-09-01,2024,9,3,-1.0,-1.8369701987210297e-16,28.888888888888886,192,40.0,35.625,60.0,147.5,,45.208333333333336,12.995391811458804,98.29861111111113,59.711752150706545,-0.01388888888888895,-0.5555555555555571,3.819444444444443,4.375,-24.375,-32.22222222222222,41.08676315410452,-1.0,-1.0,0.28745567140554035,44.166666666666664,4.722222222222221,20.126666666666665,1.1700000000000002,53.233333333333334,25.41,33.548,62.5,3.0,2.09675
üzüm (si̇yah),2024-10,44.166666666666664,32.5,55.833333333333336,0,1.4,1,2024-10-01,2024,10,4,-0.8660254037844386,0.5000000000000001,23.333333333333336,192,39.44444444444444,40.0,35.625,170.0,,38.35648148148148,2.3817858439795407,80.28935185185186,58.17989768909161,0.11971830985915499,4.722222222222221,4.166666666666664,-0.5555555555555571,4.375,-6.851851851851852,15.374431218359433,1.0,-1.0,0.062096046143582474,55.625,11.458333333333336,13.412903225806453,0.016129032258064516,53.096774193548384,21.161290322580644,34.30516129032258,63.0,2.9,2.1612251612903224
üzüm (si̇yah),2024-11,55.625,38.75,72.5,0,1.4,0,2024-11-01,2024,11,4,-0.5000000000000004,0.8660254037844384,33.75,192,44.166666666666664,39.44444444444444,40.0,136.66666666666666,,41.2037037037037,2.5809925675487473,59.31712962962962,38.839016052838836,0.25943396226415105,11.458333333333336,16.180555555555557,4.722222222222221,-0.5555555555555571,2.8472222222222214,2.9520015703932256,1.0,1.0,0.06263981961691342,60.55555555555556,4.930555555555557,6.3533333333333335,0.8400000000000001,69.9,14.836666666666668,34.53066666666667,64.0,2.2,2.2099626666666667
üzüm (si̇yah),2024-12,60.55555555555556,40.55555555555556,80.55555555555556,0,1.4,0,2024-12-01,2024,12,4,-2.4492935982947064e-16,1.0,40.0,192,55.625,44.166666666666664,39.44444444444444,60.0,,46.41203703703704,8.320688709277913,45.81018518518518,9.781630659246296,0.08863920099875156,4.930555555555557,16.388888888888893,11.458333333333336,4.722222222222221,5.208333333333333,6.021678301595026,1.0,1.0,0.1792786794218483,66.38888888888889,5.833333333333329,4.1,1.4387096774193548,84.2258064516129,11.82258064516129,35.031612903225806,65.0,1.0,2.2770548387096774
