hafta_baslangic,urun_adi,urun_kod,fiyat,lag_1h,lag_4h,lag_8h,lag_12h,lag_24h,roll4_ort,roll8_ort,roll12_ort,roll4_std,momentum_pct,trend_4_12,volatilite,hedef_haftalik,konya_sic,konya_yagis,antalya_don_lag1,sic_fark,dolar_kuru,yil,hafta_no,ay,hafta_sin,hafta_cos,lojistik
2024-08-27,salatalik (muhtelif),112,22.5,24.0,15.75,20.0,11.0,20.0,20.0625,18.78125,18.354166666666668,3.525945499673338,11.627906976744185,1.7083333333333321,3.525945499673338,22.5,22.32857142857143,6.0,0.0,-5.228571428571428,33.42944412706945,2024,35,8,-0.8854560256532096,-0.4647231720437691,76.88772149225973
2024-09-03,salatalik (muhtelif),112,22.5,22.5,19.0,20.0,18.5,20.0,21.75,19.09375,19.3125,2.101586702153081,-6.25,2.4375,2.101586702153081,22.5,21.842857142857145,4.5,0.0,-5.7,33.428313629565125,2024,36,9,-0.9350162426854147,-0.3546048870425359,76.88512134799979
2024-09-10,salatalik (muhtelif),112,22.5,22.5,21.5,16.5,18.5,16.25,22.625,19.40625,19.645833333333332,1.0307764064044136,0.0,2.979166666666668,1.0307764064044136,22.5,22.12857142857143,0.8,0.0,-3.6000000000000005,33.842774415981935,2024,37,9,-0.970941817426052,-0.23931566428755774,77.83838115675844
2024-09-17,salatalik (muhtelif),112,22.5,22.5,24.0,13.5,22.0,12.5,22.875,20.15625,19.979166666666668,0.7499999999999979,0.0,2.895833333333332,0.7499999999999979,25.5,18.385714285714283,10.1,0.0,-5.785714285714285,33.621234098034755,2024,38,9,-0.992708874098054,-0.12053668025532357,77.32883842547993
2024-09-24,salatalik (muhtelif),112,25.5,22.5,22.5,15.75,20.0,9.5,22.5,21.28125,20.020833333333332,0.0,0.0,2.479166666666668,0.0,27.0,17.885714285714286,13.9,0.0,-6.3999999999999995,33.860267833155675,2024,39,9,-1.0,-1.8369701987210297e-16,77.87861601625805
2024-10-01,salatalik (muhtelif),112,27.0,25.5,22.5,19.0,20.0,11.5,23.25,22.5,20.479166666666668,1.499999999999999,13.33333333333333,2.770833333333332,1.499999999999999,26.0,16.2,0.4,0.0,-6.371428571428571,34.21651198449736,2024,40,10,-0.992708874098054,0.1205366802553232,78.69797756434392
2024-10-08,salatalik (muhtelif),112,26.0,27.0,22.5,21.5,16.5,9.5,24.375,23.5,21.0625,2.2499999999999996,5.882352941176472,3.3125,2.2499999999999996,25.0,18.928571428571427,0.1,0.0,-3.942857142857143,34.068601716457756,2024,41,10,-0.9709418174260521,0.23931566428755738,78.35778394785284
2024-10-15,salatalik (muhtelif),112,25.0,26.0,22.5,24.0,13.5,10.0,25.25,24.0625,21.854166666666668,1.9364916731037076,-3.703703703703709,3.395833333333332,1.9364916731037076,33.75,10.971428571428572,0.0,0.0,-9.700000000000001,34.21910046075684,2024,42,10,-0.9350162426854148,0.35460488704253557,78.70393105974073
2024-10-22,salatalik (muhtelif),112,33.75,25.0,25.5,22.5,15.75,10.5,25.875,24.1875,22.8125,0.8539125638299646,-3.8461538461538436,3.0625,0.8539125638299646,37.5,9.042857142857143,0.0,0.0,-10.071428571428571,34.19887251189094,2024,43,10,-0.8854560256532101,0.464723172043768,78.65740677734915
2024-10-29,salatalik (muhtelif),112,37.5,33.75,27.0,22.5,19.0,10.5,27.9375,25.59375,24.3125,3.9600873306868705,35.00000000000001,3.625,3.9600873306868705,35.0,9.62857142857143,0.0,0.0,-10.099999999999998,34.33850390653502,2024,44,10,-0.822983865893657,0.5680647467311548,78.97855898503053
2024-11-05,salatalik (muhtelif),112,35.0,37.5,26.0,22.5,21.5,10.5,30.5625,27.46875,25.854166666666668,6.0565907626870965,11.111111111111116,4.708333333333332,6.0565907626870965,40.0,6.114285714285714,7.1,0.0,-10.542857142857143,34.49577276725186,2024,45,11,-0.7485107481711011,0.6631226582407952,79.34027736467927
2024-11-12,salatalik (muhtelif),112,40.0,35.0,25.0,22.5,24.0,10.75,32.8125,29.03125,26.979166666666668,5.43666181279162,-6.666666666666665,5.833333333333332,5.43666181279162,35.0,9.057142857142857,2.8,0.0,-6.057142857142857,34.59798485418395,2024,46,11,-0.6631226582407955,0.7485107481711007,79.57536516462308
2024-11-19,salatalik (muhtelif),112,35.0,40.0,33.75,25.5,22.5,11.0,36.5625,31.21875,28.3125,2.771694728260432,14.28571428571428,8.25,2.771694728260432,35.0,6.257142857142857,14.8,0.0,-6.985714285714286,34.678214279633394,2024,47,11,-0.5680647467311559,0.8229838658936564,79.7598928431568
2024-11-26,salatalik (muhtelif),112,35.0,35.0,37.5,27.0,22.5,18.5,36.875,32.40625,29.354166666666668,2.393567769390846,-12.5,7.520833333333332,2.393567769390846,33.75,0.8571428571428571,0.5,0.0,-10.285714285714286,34.677042018838655,2024,48,11,-0.4647231720437684,0.88545602565321,79.7571966433289
2024-12-03,salatalik (muhtelif),112,33.75,35.0,35.0,26.0,22.5,18.5,36.25,33.40625,30.395833333333332,2.5000000000000004,0.0,5.854166666666668,2.5000000000000004,29.0,5.442857142857143,6.5,0.0,-7.514285714285713,34.66356237568849,2024,49,12,-0.35460488704253595,0.9350162426854147,79.72619346408352
2024-12-10,salatalik (muhtelif),112,29.0,33.75,40.0,25.0,22.5,22.0,35.9375,34.375,31.333333333333332,2.7716947282604316,-3.57142857142857,4.604166666666668,2.7716947282604316,27.0,4.485714285714286,7.0,0.0,-8.071428571428571,34.97146882852665,2024,50,12,-0.2393156642875578,0.970941817426052,80.43437830561129
2024-12-17,salatalik (muhtelif),112,27.0,29.0,35.0,33.75,25.5,20.0,33.1875,34.875,31.875,2.8531780526283335,-14.074074074074073,1.3125,2.8531780526283335,31.75,3.1714285714285713,3.4000000000000004,0.0,-7.771428571428571,35.07687235690763,2024,51,12,-0.12053668025532363,0.992708874098054,80.67680642088754
2024-12-24,salatalik (muhtelif),112,31.75,27.0,35.0,37.5,27.0,20.0,31.1875,34.03125,32.0,3.8044655778878256,-6.896551724137934,-0.8125,3.8044655778878256,45.0,4.071428571428571,27.3,0.0,-6.485714285714287,35.03416625927046,2024,52,12,6.432490598706546e-16,1.0,80.57858239632205
2024-12-31,salatalik (muhtelif),112,45.0,31.75,33.75,35.0,26.0,16.5,30.375,33.3125,32.395833333333336,2.9755951785595234,17.59259259259258,-2.0208333333333357,2.9755951785595234,47.5,2.7714285714285714,5.6,0.0,-7.271428571428571,35.56098923593883,2025,1,12,0.12053668025532305,0.992708874098054,81.79027524265929
2025-01-07,salatalik (muhtelif),112,47.5,45.0,29.0,40.0,25.0,13.5,33.1875,34.5625,33.979166666666664,8.112169356384683,41.73228346456692,-0.7916666666666643,8.112169356384683,28.75,4.6000000000000005,0.1,0.0,-7.285714285714286,35.32572605670832,2025,2,1,0.23931566428755774,0.970941817426052,81.24916993042913
2025-01-14,salatalik (muhtelif),112,28.75,47.5,27.0,35.0,33.75,15.75,37.8125,35.5,35.854166666666664,9.986188378622412,5.555555555555558,1.9583333333333357,9.986188378622412,25.5,3.6571428571428575,7.3,0.0,-8.414285714285715,35.357277332838976,2025,3,1,0.3546048870425356,0.9350162426854148,81.32173786552964
2025-01-21,salatalik (muhtelif),112,25.5,28.75,31.75,35.0,37.5,19.0,38.25,34.71875,35.4375,9.374166629626338,-39.473684210526315,2.8125,9.374166629626338,26.25,3.4142857142857146,10.6,0.0,-8.357142857142858,35.2588941922343,2025,4,1,0.4647231720437685,0.8854560256532099,81.09545664213888
2025-01-28,salatalik (muhtelif),112,26.25,25.5,45.0,33.75,35.0,21.5,36.6875,33.53125,34.4375,11.16798810589147,-11.304347826086957,2.25,11.16798810589147,32.0,3.857142857142857,0.0,0.0,-7.1571428571428575,35.600828711724105,2025,5,1,0.5680647467311558,0.8229838658936564,81.88190603696543
2025-02-04,salatalik (muhtelif),112,32.0,26.25,47.5,29.0,40.0,24.0,32.0,32.59375,33.708333333333336,10.426328852157566,2.941176470588225,-1.7083333333333357,10.426328852157566,36.5,-0.6571428571428571,8.600000000000001,0.0,-8.957142857142857,35.7777239117028,2025,6,2,0.6631226582407952,0.7485107481711011,82.28876499691644
2025-02-11,salatalik (muhtelif),112,36.5,32.0,28.75,27.0,35.0,22.5,28.125,32.96875,33.041666666666664,2.9332859844663353,21.904761904761916,-4.916666666666664,2.9332859844663353,36.5,1.1857142857142855,0.7,0.0,-7.3,35.714853631553375,2025,7,2,0.7485107481711011,0.6631226582407953,82.14416335257276
2025-02-18,salatalik (muhtelif),112,36.5,36.5,25.5,31.75,35.0,22.5,30.0625,34.15625,33.166666666666664,5.181598048221543,14.0625,-3.1041666666666643,5.181598048221543,47.5,-2.357142857142857,5.7,1.0,-9.085714285714285,35.880543977253566,2025,8,2,0.8229838658936564,0.5680647467311559,82.52525114768319
2025-02-25,salatalik (muhtelif),112,47.5,36.5,26.25,45.0,33.75,22.5,32.8125,34.75,33.291666666666664,4.862162584694179,0.0,-0.4791666666666643,4.862162584694179,46.25,2.3857142857142857,16.9,1.0,-7.542857142857143,36.139891993467025,2025,9,2,0.8854560256532099,0.4647231720437686,83.12175158497415
2025-03-04,salatalik (muhtelif),112,46.25,47.5,32.0,47.5,29.0,22.5,38.125,35.0625,34.4375,6.600189391222041,30.136986301369873,3.6875,6.600189391222041,40.0,7.571428571428571,0.2,0.0,-6.957142857142857,36.021758002819105,2025,10,3,0.9350162426854148,0.35460488704253557,82.85004340648393
2025-03-11,salatalik (muhtelif),112,40.0,46.25,36.5,28.75,27.0,25.5,41.6875,34.90625,35.875,6.011707328205524,-2.631578947368418,5.8125,6.011707328205524,40.0,14.185714285714285,0.0,0.0,-2.6,36.13906146247662,2025,11,3,0.970941817426052,0.23931566428755804,83.11984136369621
2025-03-18,salatalik (muhtelif),112,40.0,40.0,36.5,25.5,31.75,27.0,42.5625,36.3125,36.958333333333336,5.205665983650251,-13.513513513513509,5.604166666666664,5.205665983650251,40.0,3.842857142857143,13.099999999999998,0.0,-8.528571428571428,36.259409109712,2025,12,3,0.992708874098054,0.120536680255323,83.3966409523376
2025-03-25,salatalik (muhtelif),112,40.0,40.0,47.5,26.25,45.0,26.0,43.4375,38.125,37.645833333333336,4.001952648395529,0.0,5.791666666666664,4.001952648395529,30.0,14.471428571428572,1.7999999999999998,0.0,-1.7,36.19385105806293,2025,13,3,1.0,-1.6081226496766366e-16,83.24585743354474
2025-04-01,salatalik (muhtelif),112,30.0,40.0,46.25,32.0,47.5,25.0,41.5625,39.84375,37.229166666666664,3.1249999999999996,0.0,4.333333333333336,3.1249999999999996,27.5,9.4,10.799999999999999,0.0,-4.1,36.4036651445443,2025,14,4,0.992708874098054,-0.12053668025532288,83.72842983245188
2025-04-08,salatalik (muhtelif),112,27.5,30.0,40.0,36.5,28.75,33.75,37.5,39.59375,35.770833333333336,5.0,-25.0,1.7291666666666643,5.0,23.0,4.557142857142857,16.6,0.0,-8.557142857142857,36.60816643079088,2025,15,4,0.9709418174260521,-0.2393156642875575,84.19878279081902
2025-04-15,salatalik (muhtelif),112,23.0,27.5,40.0,36.5,25.5,37.5,34.375,38.46875,35.666666666666664,6.5748890991914575,-8.333333333333337,-1.2916666666666643,6.5748890991914575,10.75,14.042857142857143,0.30000000000000004,0.0,-2.1,36.594486840120105,2025,16,4,0.9350162426854148,-0.35460488704253545,84.16731973227624
2025-04-22,salatalik (muhtelif),112,10.75,23.0,40.0,47.5,26.25,35.0,30.125,36.78125,35.458333333333336,7.192299122441074,-16.36363636363637,-5.333333333333336,7.192299122441074,11.0,14.828571428571427,10.5,0.0,-2.4571428571428577,36.65258487432056,2025,17,4,0.8854560256532099,-0.4647231720437685,84.30094521093729
2025-04-29,salatalik (muhtelif),112,11.0,10.75,30.0,46.25,32.0,40.0,22.8125,32.1875,34.166666666666664,8.547355828948895,-53.260869565217384,-11.354166666666664,8.547355828948895,11.0,12.071428571428571,6.699999999999999,0.0,-4.642857142857143,36.921937749818255,2025,18,4,0.8229838658936565,-0.5680647467311557,84.92045682458198
2025-05-06,salatalik (muhtelif),112,11.0,11.0,27.5,40.0,36.5,35.0,18.0625,27.78125,32.416666666666664,8.50091906795965,2.3255813953488413,-14.354166666666664,8.50091906795965,11.0,18.914285714285715,5.0,0.0,-1.0571428571428574,36.87922441851832,2025,19,5,0.7485107481711013,-0.663122658240795,84.82221616259213
